instancia,n,m,algoritmo,t_medio_s,t_sd_s,colores,valida,mem_mb,nota
Peru,25,53,greedy_natural,2.6439e-05,6.09e-06,5,1,0.002,
Peru,25,53,greedy_largest_first,4.43524e-05,8.12e-06,4,1,0.003,
Peru,25,53,greedy_smallest_last,6.375e-05,1.04e-05,4,1,0.008,
Peru,25,53,dsatur,6.38272e-05,7.79e-06,4,1,0.012,
Peru,25,53,backtracking,0.000137406,0,4,1,0.000,"chi=4 exacto, 0 nodos"
gnp_1000,1000,4995,greedy_natural,0.000957026,4.54e-05,8,1,0.061,
gnp_1000,1000,4995,greedy_largest_first,0.00137759,0.000328,7,1,0.063,
gnp_1000,1000,4995,greedy_smallest_last,0.00299445,5.05e-05,7,1,0.179,
gnp_1000,1000,4995,dsatur,0.00416456,0.000326,5,1,0.638,
gnp_1000,1000,4995,backtracking,30,0,5,1,0.000,"chi en [3,5] (timeout), 5427480 nodos"
geo_1000,1000,2896,greedy_natural,0.000679685,2.76e-05,9,1,0.061,
geo_1000,1000,2896,greedy_largest_first,0.000803345,5.51e-06,9,1,0.062,
geo_1000,1000,2896,greedy_smallest_last,0.00201834,7.23e-06,9,1,0.135,
geo_1000,1000,2896,dsatur,0.00352802,3.13e-05,9,1,0.443,
geo_10000,10000,30043,greedy_natural,0.00966594,0.00137,11,1,0.498,
geo_10000,10000,30043,greedy_largest_first,0.0103976,0.000397,10,1,0.505,
geo_10000,10000,30043,greedy_smallest_last,0.0335211,0.00118,10,1,1.620,
geo_10000,10000,30043,dsatur,0.0464629,0.00138,10,1,4.281,
geo_100000,100000,298939,greedy_natural,0.194927,0.00292,12,1,8.263,
geo_100000,100000,298939,greedy_largest_first,0.217434,0.00615,11,1,8.265,
geo_100000,100000,298939,greedy_smallest_last,1.28078,0.00965,11,1,14.847,
geo_100000,100000,298939,dsatur,0.643153,0.00884,11,1,45.962,
geo_1000000,1000000,2996912,greedy_natural,2.78496,0.0172,13,1,67.630,
geo_1000000,1000000,2996912,greedy_largest_first,3.12434,0.0328,13,1,68.059,
geo_1000000,1000000,2996912,greedy_smallest_last,36.9189,0.371,13,1,124.234,
geo_1000000,1000000,2996912,dsatur,8.5257,0.0282,13,1,442.394,
